Code,Loops,Recursion,Function_Calls,If_Conditions,Complexity
"def z_function(s):
    n = len(s)
    z = [0] * n
    
    left, right = 0, 0
    for i in range(1, n):
        if i <= right:
            z[i] = min(right - i + 1, z[i - left])
            
        while i + z[i] < n and s[z[i]] == s[i + z[i]]:
            z[i] += 1
            
        if i + z[i] - 1 > right:
            left = i
            right = i + z[i] - 1
            
    return z",2,0,0,1,O(n)
"def kmp_search(text, pattern):
    if not pattern:
        return 0
        
    # Compute the LPS array
    def compute_lps(pattern):
        m = len(pattern)
        lps = [0] * m
        
        length = 0
        i = 1
        
        while i < m:
            if pattern[i] == pattern[length]:
                length += 1
                lps[i] = length
                i += 1
            else:
                if length != 0:
                    length = lps[length - 1]
                else:
                    lps[i] = 0
                    i += 1
                    
        return lps
        
    lps = compute_lps(pattern)
    
    n, m = len(text), len(pattern)
    i = j = 0
    
    while i < n:
        if pattern[j] == text[i]:
            i += 1
            j += 1
            
        if j == m:
            return i - j
            
        elif i < n and pattern[j] != text[i]:
            if j != 0:
                j = lps[j - 1]
            else:
                i += 1
                
    return -1",3,0,1,3,O(n+m)
"def manacher_algorithm(s):
    # Transform string to handle even-length palindromes
    t = '#' + '#'.join(s) + '#'
    n = len(t)
    
    # Array to store palindrome lengths
    p = [0] * n
    
    c = r = 0
    for i in range(1, n-1):
        if r > i:
            p[i] = min(r - i, p[2*c - i])
            
        # Attempt to expand palindrome centered at i
        while i + p[i] + 1 < n and i - p[i] - 1 >= 0 and t[i + p[i] + 1] == t[i - p[i] - 1]:
            p[i] += 1
            
        # If palindrome centered at i expands past r,
        # adjust center and right boundary
        if i + p[i] > r:
            c, r = i, i + p[i]
            
    # Find the maximum palindrome length
    max_len, center = max((p[i], i) for i in range(n))
    
    # Transform back to original string indices
    return s[(center - max_len) // 2: (center + max_len) // 2]",2,0,0,2,O(n)
"def minimum_window_substring(s, t):
    if not s or not t:
        return ''
        
    # Dictionary to store character counts for t
    dict_t = {}
    for char in t:
        dict_t[char] = dict_t.get(char, 0) + 1
        
    required = len(dict_t)
    
    # Dictionary to store window character counts
    window_counts = {}
    
    # Variables to track sliding window
    formed = 0
    left, right = 0, 0
    
    # Variables for result
    ans = float('inf'), None, None
    
    while right < len(s):
        # Add one character from the right
        character = s[right]
        window_counts[character] = window_counts.get(character, 0) + 1
        
        # If the frequency of current character equals required count
        if character in dict_t and window_counts[character] == dict_t[character]:
            formed += 1
            
        # Try to minimize the window
        while left <= right and formed == required:
            character = s[left]
            
            # Update result if current window is smaller
            if right - left + 1 < ans[0]:
                ans = (right - left + 1, left, right)
                
            # Remove character from the left
            window_counts[character] -= 1
            if character in dict_t and window_counts[character] < dict_t[character]:
                formed -= 1
                
            # Move left pointer
            left += 1
            
        # Move right pointer
        right += 1
        
    return '' if ans[0] == float('inf') else s[ans[1]: ans[2] + 1]",2,0,0,3,O(n+m)
"def longest_substring_without_repeating_chars(s):
    n = len(s)
    ans = 0
    # Map from character to its index
    mp = {}
    
    i = 0
    for j in range(n):
        if s[j] in mp:
            i = max(mp[s[j]], i)
            
        ans = max(ans, j - i + 1)
        mp[s[j]] = j + 1
        
    return ans",1,0,0,0,O(n)
"def trapping_rain_water(height):
    if not height:
        return 0
        
    n = len(height)
    left_max = [0] * n
    right_max = [0] * n
    
    # Fill left_max
    left_max[0] = height[0]
    for i in range(1, n):
        left_max[i] = max(height[i], left_max[i-1])
        
    # Fill right_max
    right_max[n-1] = height[n-1]
    for i in range(n-2, -1, -1):
        right_max[i] = max(height[i], right_max[i+1])
        
    # Calculate trapped water
    water = 0
    for i in range(n):
        water += min(left_max[i], right_max[i]) - height[i]
        
    return water",3,0,0,0,O(n)
"def reverse_linked_list(head):
    prev = None
    current = head
    
    while current:
        next_temp = current.next
        current.next = prev
        prev = current
        current = next_temp
        
    return prev",1,0,0,0,O(n)
"def detect_cycle_in_linked_list(head):
    if not head or not head.next:
        return False
        
    slow = fast = head
    
    while fast and fast.next:
        slow = slow.next
        fast = fast.next.next
        
        if slow == fast:
            return True
            
    return False",1,0,0,1,O(n)
"def merge_k_sorted_lists(lists):
    import heapq
    
    dummy = ListNode(0)
    current = dummy
    heap = []
    
    # Add the first node from each list to the heap
    for i, lst in enumerate(lists):
        if lst:
            heapq.heappush(heap, (lst.val, i, lst))
            
    while heap:
        val, i, node = heapq.heappop(heap)
        current.next = node
        current = current.next
        
        if node.next:
            heapq.heappush(heap, (node.next.val, i, node.next))
            
    return dummy.next",1,0,1,1,O(n log k)
"def lru_cache(capacity):
    class LRUCache:
        def __init__(self, capacity):
            self.capacity = capacity
            self.cache = {}
            self.next = {}
            self.prev = {}
            self.head = self.tail = None
            
        def _remove(self, key):
            if self.head == key:
                self.head = self.next.get(key)
            if self.tail == key:
                self.tail = self.prev.get(key)
            if key in self.next:
                self.prev[self.next[key]] = self.prev.get(key)
            if key in self.prev:
                self.next[self.prev[key]] = self.next.get(key)
            self.next.pop(key, None)
            self.prev.pop(key, None)
            
        def _add(self, key):
            self.next[key] = None
            if self.tail:
                self.next[self.tail] = key
            self.prev[key] = self.tail
            self.tail = key
            if not self.head:
                self.head = key
                
        def get(self, key):
            if key not in self.cache:
                return -1
            self._remove(key)
            self._add(key)
            return self.cache[key]
            
        def put(self, key, value):
            if key in self.cache:
                self._remove(key)
            self._add(key)
            self.cache[key] = value
            if len(self.cache) > self.capacity:
                lru = self.head
                self._remove(lru)
                self.cache.pop(lru)
                
    return LRUCache(capacity)",2,0,3,2,O(1)
"def binary_tree_max_path_sum(root):
    max_sum = float('-inf')
    
    def max_gain(node):
        nonlocal max_sum
        if not node:
            return 0
            
        left_gain = max(max_gain(node.left), 0)
        right_gain = max(max_gain(node.right), 0)
        
        current_max_path = node.val + left_gain + right_gain
        max_sum = max(max_sum, current_max_path)
        
        return node.val + max(left_gain, right_gain)
        
    max_gain(root)
    return max_sum",0,1,2,0,O(n)
"def serialize_deserialize_binary_tree():
    def serialize(root):
        def dfs(node):
            if not node:
                vals.append('#')
                return
            vals.append(str(node.val))
            dfs(node.left)
            dfs(node.right)
            
        vals = []
        dfs(root)
        return ' '.join(vals)
        
    def deserialize(data):
        def dfs():
            val = next(vals)
            if val == '#':
                return None
            node = TreeNode(int(val))
            node.left = dfs()
            node.right = dfs()
            return node
            
        vals = iter(data.split())
        return dfs()
        
    return serialize, deserialize",2,2,4,2,O(n)
"def skyline_problem(buildings):
    import heapq
    
    # Extract all x coordinates and heights
    points = []
    for left, right, height in buildings:
        points.append((left, -height, right))  # Start point
        points.append((right, 0, 0))           # End point
        
    points.sort()
    
    result = []
    heap = [(0, float('inf'))]  # (height, ending position)
    prev_max = 0
    
    for x, neg_h, r in points:
        # Remove buildings that have ended
        while heap[0][1] <= x:
            heapq.heappop(heap)
            
        # Add new buildings
        if neg_h != 0:
            heapq.heappush(heap, (neg_h, r))
            
        # If max height changed, add to result
        curr_max = -heap[0][0]
        if curr_max != prev_max:
            result.append([x, curr_max])
            prev_max = curr_max
            
    return result",1,0,0,1,O(n log n)
